                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     21,                 1.0815,                 3.4265,                0.34283,                0.96083,                 1.2356,                0.85696,                0.78756,                0.88469,                0.65964,                0.81869,                0.69524,                0.75068,                 0.4435,                0.91025,                 2.5078,                0.30708,                0.72218,                 1.1099,                0.00802,                0.00802,                0.00802
                     22,                  1.079,                 3.4375,                0.34243,                0.96115,                 1.2329,                0.84912,                0.79383,                0.88519,                 0.6604,                 0.8245,                0.69079,                0.75073,                0.44395,                0.90908,                 2.5011,                0.30652,                0.72099,                 1.1092,               0.007921,               0.007921,               0.007921
                     23,                 1.0771,                 3.4126,                0.34147,                0.95803,                 1.2324,                0.85546,                0.78548,                 0.8855,                0.66087,                0.82623,                0.69159,                0.75282,                0.44509,                0.90793,                  2.497,                0.30602,                0.71928,                 1.1088,               0.007822,               0.007822,               0.007822
                     24,                 1.0754,                 3.4149,                0.34193,                0.95547,                 1.2319,                0.84706,                0.79518,                0.88558,                0.66105,                 0.8224,                0.69254,                0.75199,                 0.4454,                0.90644,                 2.4937,                0.30555,                0.71829,                  1.108,               0.007723,               0.007723,               0.007723
                     25,                 1.0744,                 3.3852,                0.34027,                0.95493,                 1.2297,                0.84439,                 0.7979,                0.88597,                0.66173,                 0.8217,                0.69506,                0.75337,                0.44646,                0.90528,                 2.4899,                 0.3051,                0.71697,                 1.1068,               0.007624,               0.007624,               0.007624
                     26,                 1.0681,                 3.3753,                 0.3393,                0.94858,                 1.2274,                0.84491,                0.79707,                0.88667,                0.66235,                0.82605,                0.69378,                0.75566,                0.44797,                0.90406,                 2.4859,                0.30463,                0.71565,                 1.1057,               0.007525,               0.007525,               0.007525
                     27,                 1.0696,                 3.3733,                 0.3393,                0.94705,                  1.227,                0.84389,                0.79849,                0.88669,                0.66298,                0.82634,                0.69584,                0.75905,                0.44889,                 0.9029,                 2.4803,                 0.3043,                0.71431,                 1.1044,               0.007426,               0.007426,               0.007426
                     28,                 1.0709,                 3.3653,                0.33849,                0.95004,                 1.2292,                0.84151,                0.80101,                0.88733,                0.66366,                0.82683,                0.69531,                 0.7591,                0.45018,                0.90217,                 2.4751,                0.30382,                0.71338,                 1.1039,               0.007327,               0.007327,               0.007327
                     29,                 1.0644,                 3.3609,                0.33751,                0.94348,                 1.2241,                0.84313,                0.80211,                0.88752,                0.66405,                0.82645,                 0.6942,                0.75948,                0.45069,                0.90118,                 2.4704,                0.30351,                0.71211,                 1.1031,               0.007228,               0.007228,               0.007228
                     30,                 1.0665,                 3.3656,                 0.3373,                0.94539,                  1.227,                0.84353,                0.80227,                0.88808,                0.66483,                0.82798,                0.69562,                0.75935,                 0.4509,                0.90022,                  2.466,                0.30319,                0.71178,                 1.1022,               0.007129,               0.007129,               0.007129
                     31,                 1.0644,                 3.3409,                0.33778,                 0.9416,                 1.2237,                0.84704,                0.79723,                 0.8879,                 0.6655,                0.82311,                0.69962,                0.75928,                0.45121,                0.89916,                 2.4607,                0.30276,                0.71131,                 1.1014,                0.00703,                0.00703,                0.00703
                     32,                 1.0615,                 3.3335,                0.33675,                0.93736,                 1.2215,                 0.8557,                0.79219,                0.88834,                0.66552,                0.82241,                0.69994,                0.75937,                 0.4515,                0.89889,                 2.4542,                0.30219,                0.70984,                  1.101,               0.006931,               0.006931,               0.006931
                     33,                 1.0605,                 3.3218,                0.33599,                0.93717,                 1.2217,                 0.8577,                0.79136,                0.88899,                0.66646,                0.82311,                0.70041,                0.75972,                0.45288,                0.89794,                 2.4478,                0.30176,                0.70842,                 1.1004,               0.006832,               0.006832,               0.006832
                     34,                 1.0596,                 3.2949,                0.33531,                0.93338,                 1.2209,                0.85455,                0.79361,                0.88893,                 0.6669,                0.82035,                0.70324,                 0.7603,                  0.454,                0.89749,                 2.4408,                0.30121,                0.70685,                 1.1003,               0.006733,               0.006733,               0.006733
                     35,                 1.0571,                 3.3077,                0.33452,                0.93399,                 1.2197,                0.85711,                0.79077,                0.88912,                0.66743,                  0.817,                0.70545,                0.76173,                0.45448,                0.89706,                 2.4363,                0.30083,                0.70571,                 1.1001,               0.006634,               0.006634,               0.006634
                     36,                 1.0571,                 3.2928,                0.33505,                0.93229,                 1.2185,                0.85533,                0.79487,                0.89004,                0.66816,                0.81932,                0.70533,                0.76156,                 0.4555,                0.89624,                 2.4272,                0.30039,                0.70492,                 1.0997,               0.006535,               0.006535,               0.006535
                     37,                 1.0547,                 3.2818,                0.33309,                0.92972,                 1.2184,                0.85593,                0.79503,                0.89032,                0.66803,                0.81826,                0.70623,                0.76232,                0.45662,                0.89565,                 2.4219,                0.29991,                 0.7044,                 1.0994,               0.006436,               0.006436,               0.006436
